R ,17 ,C ,8 ,N ,80 ,D ,12,Rate ,1.015663,T ,0.177000 ,
R ,17 ,C ,8 ,N ,80 ,D ,14,Rate ,1.016080,T ,0.169000 ,
R ,17 ,C ,8 ,N ,80 ,D ,16,Rate ,1.016379,T ,0.269000 ,
R ,17 ,C ,8 ,N ,80 ,D ,18,Rate ,1.001509,T ,0.260000 ,
R ,17 ,C ,8 ,N ,80 ,D ,20,Rate ,1.008092,T ,0.309000 ,
R ,17 ,C ,8 ,N ,80 ,D ,25,Rate ,1.002643,T ,0.427000 ,
R ,17 ,C ,8 ,N ,80 ,D ,30,Rate ,1.002610,T ,0.629000 ,
R ,17 ,C ,8 ,N ,80 ,D ,35,Rate ,1.002978,T ,0.822000 ,
R ,17 ,C ,8 ,N ,80 ,D ,40,Rate ,1.001942,T ,1.393000 ,
R ,17 ,C ,8 ,N ,80 ,D ,45,Rate ,1.004011,T ,1.300000 ,
R ,17 ,C ,8 ,N ,80 ,D ,50,Rate ,1.002317,T ,2.004000 ,
R ,17 ,C ,8 ,N ,80 ,D ,55,Rate ,1.002094,T ,3.783000 ,
R ,17 ,C ,8 ,N ,80 ,D ,60,Rate ,1.002135,T ,3.208000 ,
R ,17 ,C ,8 ,N ,80 ,D ,65,Rate ,1.002170,T ,3.255000 ,
R ,17 ,C ,8 ,N ,80 ,D ,70,Rate ,1.002186,T ,6.293000 ,
R ,17 ,C ,8 ,N ,90 ,D ,1,Rate ,1.055556,T ,0.042000 ,
R ,17 ,C ,8 ,N ,90 ,D ,2,Rate ,1.015267,T ,0.034000 ,
R ,17 ,C ,8 ,N ,90 ,D ,3,Rate ,1.047872,T ,0.051000 ,
R ,17 ,C ,8 ,N ,90 ,D ,4,Rate ,1.064935,T ,0.047000 ,
R ,17 ,C ,8 ,N ,90 ,D ,5,Rate ,1.045161,T ,0.053000 ,
R ,17 ,C ,8 ,N ,90 ,D ,6,Rate ,1.072682,T ,0.074000 ,
R ,17 ,C ,8 ,N ,90 ,D ,8,Rate ,1.041667,T ,0.088000 ,
R ,17 ,C ,8 ,N ,90 ,D ,10,Rate ,1.028205,T ,0.123000 ,
R ,17 ,C ,8 ,N ,90 ,D ,12,Rate ,1.008412,T ,0.163000 ,
R ,17 ,C ,8 ,N ,90 ,D ,14,Rate ,1.007201,T ,0.263000 ,
R ,17 ,C ,8 ,N ,90 ,D ,16,Rate ,1.008340,T ,0.273000 ,
R ,17 ,C ,8 ,N ,90 ,D ,18,Rate ,1.008103,T ,0.396000 ,
R ,17 ,C ,8 ,N ,90 ,D ,20,Rate ,1.007817,T ,0.432000 ,
R ,17 ,C ,8 ,N ,90 ,D ,25,Rate ,1.011262,T ,0.835000 ,
R ,17 ,C ,8 ,N ,90 ,D ,30,Rate ,1.005859,T ,1.000000 ,
R ,17 ,C ,8 ,N ,90 ,D ,35,Rate ,1.002331,T ,1.172000 ,
R ,17 ,C ,8 ,N ,90 ,D ,40,Rate ,1.003174,T ,1.846000 ,
R ,17 ,C ,8 ,N ,90 ,D ,45,Rate ,1.002548,T ,2.873000 ,
R ,17 ,C ,8 ,N ,90 ,D ,50,Rate ,1.002291,T ,2.849000 ,
R ,17 ,C ,8 ,N ,90 ,D ,55,Rate ,1.003747,T ,4.142000 ,
R ,17 ,C ,8 ,N ,90 ,D ,60,Rate ,1.003425,T ,4.563000 ,
R ,17 ,C ,8 ,N ,90 ,D ,65,Rate ,1.004203,T ,8.825000 ,
R ,17 ,C ,8 ,N ,90 ,D ,70,Rate ,1.002926,T ,4.540000 ,
R ,17 ,C ,8 ,N ,100 ,D ,1,Rate ,1.090000,T ,0.048000 ,
R ,17 ,C ,8 ,N ,100 ,D ,2,Rate ,1.006711,T ,0.044000 ,
R ,17 ,C ,8 ,N ,100 ,D ,3,Rate ,1.054726,T ,0.047000 ,
R ,17 ,C ,8 ,N ,100 ,D ,4,Rate ,1.072874,T ,0.077000 ,
R ,17 ,C ,8 ,N ,100 ,D ,5,Rate ,1.062331,T ,0.063000 ,
R ,17 ,C ,8 ,N ,100 ,D ,6,Rate ,1.059908,T ,0.089000 ,
R ,17 ,C ,8 ,N ,100 ,D ,8,Rate ,1.046368,T ,0.136000 ,
R ,17 ,C ,8 ,N ,100 ,D ,10,Rate ,1.023114,T ,0.190000 ,
R ,17 ,C ,8 ,N ,100 ,D ,12,Rate ,1.025194,T ,0.189000 ,
R ,17 ,C ,8 ,N ,100 ,D ,14,Rate ,1.020080,T ,0.327000 ,
R ,17 ,C ,8 ,N ,100 ,D ,16,Rate ,1.018093,T ,0.434000 ,
R ,17 ,C ,8 ,N ,100 ,D ,18,Rate ,1.006098,T ,0.458000 ,
R ,17 ,C ,8 ,N ,100 ,D ,20,Rate ,1.005949,T ,0.391000 ,
R ,17 ,C ,8 ,N ,100 ,D ,25,Rate ,1.005960,T ,0.768000 ,
R ,17 ,C ,8 ,N ,100 ,D ,30,Rate ,1.002099,T ,1.159000 ,
R ,17 ,C ,8 ,N ,100 ,D ,35,Rate ,1.003589,T ,1.543000 ,
R ,17 ,C ,8 ,N ,100 ,D ,40,Rate ,1.003389,T ,2.069000 ,
R ,17 ,C ,8 ,N ,100 ,D ,45,Rate ,1.001849,T ,2.761000 ,
R ,17 ,C ,8 ,N ,100 ,D ,50,Rate ,1.003715,T ,3.020000 ,
R ,17 ,C ,8 ,N ,100 ,D ,55,Rate ,1.002802,T ,3.401000 ,
R ,17 ,C ,8 ,N ,100 ,D ,60,Rate ,1.002226,T ,4.023000 ,
R ,17 ,C ,8 ,N ,100 ,D ,65,Rate ,1.002833,T ,6.418000 ,
R ,17 ,C ,8 ,N ,100 ,D ,70,Rate ,1.003652,T ,6.741000 ,
R ,17 ,C ,8 ,N ,150 ,D ,1,Rate ,1.066667,T ,0.081000 ,
R ,17 ,C ,8 ,N ,150 ,D ,2,Rate ,1.037209,T ,0.096000 ,
R ,17 ,C ,8 ,N ,150 ,D ,3,Rate ,1.038961,T ,0.095000 ,
R ,17 ,C ,8 ,N ,150 ,D ,4,Rate ,1.050938,T ,0.108000 ,
R ,17 ,C ,8 ,N ,150 ,D ,5,Rate ,1.080614,T ,0.125000 ,
R ,17 ,C ,8 ,N ,150 ,D ,6,Rate ,1.051395,T ,0.183000 ,
R ,17 ,C ,8 ,N ,150 ,D ,8,Rate ,1.032389,T ,0.221000 ,
R ,17 ,C ,8 ,N ,150 ,D ,10,Rate ,1.017174,T ,0.447000 ,
R ,17 ,C ,8 ,N ,150 ,D ,12,Rate ,1.015843,T ,0.533000 ,
R ,17 ,C ,8 ,N ,150 ,D ,14,Rate ,1.021855,T ,0.810000 ,
R ,17 ,C ,8 ,N ,150 ,D ,16,Rate ,1.010609,T ,0.849000 ,
R ,17 ,C ,8 ,N ,150 ,D ,18,Rate ,1.008464,T ,1.118000 ,
R ,17 ,C ,8 ,N ,150 ,D ,20,Rate ,1.008999,T ,1.241000 ,
R ,17 ,C ,8 ,N ,150 ,D ,25,Rate ,1.009901,T ,2.822000 ,
R ,17 ,C ,8 ,N ,150 ,D ,30,Rate ,1.007447,T ,3.054000 ,
R ,17 ,C ,8 ,N ,150 ,D ,35,Rate ,1.003793,T ,5.241000 ,
R ,17 ,C ,8 ,N ,150 ,D ,40,Rate ,1.007638,T ,8.857000 ,
R ,17 ,C ,8 ,N ,150 ,D ,45,Rate ,1.005508,T ,15.891000 ,
R ,17 ,C ,8 ,N ,150 ,D ,50,Rate ,1.004955,T ,11.496000 ,
R ,17 ,C ,8 ,N ,150 ,D ,55,Rate ,1.003358,T ,9.733000 ,
R ,17 ,C ,8 ,N ,150 ,D ,60,Rate ,1.005921,T ,34.470000 ,
R ,17 ,C ,8 ,N ,150 ,D ,65,Rate ,1.006091,T ,25.344000 ,
R ,17 ,C ,8 ,N ,150 ,D ,70,Rate ,1.005256,T ,39.636000 ,
R ,17 ,C ,8 ,N ,200 ,D ,1,Rate ,1.045000,T ,0.162000 ,
