R ,8 ,C ,5 ,N ,140 ,D ,10,Rate ,1.015751,T ,3.940000 ,
R ,8 ,C ,5 ,N ,140 ,D ,12,Rate ,1.020660,T ,5.508000 ,
R ,8 ,C ,5 ,N ,140 ,D ,14,Rate ,1.019358,T ,5.361000 ,
R ,8 ,C ,5 ,N ,140 ,D ,16,Rate ,1.021404,T ,9.768000 ,
R ,8 ,C ,5 ,N ,140 ,D ,18,Rate ,1.038207,T ,15.354000 ,
R ,8 ,C ,5 ,N ,140 ,D ,20,Rate ,1.035646,T ,18.987000 ,
R ,8 ,C ,5 ,N ,140 ,D ,25,Rate ,1.044591,T ,27.850000 ,
R ,8 ,C ,5 ,N ,140 ,D ,30,Rate ,1.069539,T ,69.072000 ,
R ,8 ,C ,5 ,N ,140 ,D ,35,Rate ,1.061871,T ,64.658000 ,
R ,8 ,C ,5 ,N ,160 ,D ,1,Rate ,1.002990,T ,0.706000 ,
R ,8 ,C ,5 ,N ,160 ,D ,2,Rate ,1.005630,T ,0.731000 ,
R ,8 ,C ,5 ,N ,160 ,D ,3,Rate ,1.006319,T ,0.919000 ,
R ,8 ,C ,5 ,N ,160 ,D ,4,Rate ,1.005047,T ,0.980000 ,
R ,8 ,C ,5 ,N ,160 ,D ,5,Rate ,1.005970,T ,1.404000 ,
R ,8 ,C ,5 ,N ,160 ,D ,6,Rate ,1.010485,T ,1.850000 ,
R ,8 ,C ,5 ,N ,160 ,D ,8,Rate ,1.008241,T ,2.518000 ,
R ,8 ,C ,5 ,N ,160 ,D ,10,Rate ,1.017180,T ,4.719000 ,
R ,8 ,C ,5 ,N ,160 ,D ,12,Rate ,1.022851,T ,7.830000 ,
R ,8 ,C ,5 ,N ,160 ,D ,14,Rate ,1.024714,T ,9.611000 ,
R ,8 ,C ,5 ,N ,160 ,D ,16,Rate ,1.034296,T ,20.248000 ,
R ,8 ,C ,5 ,N ,160 ,D ,18,Rate ,1.048862,T ,26.160000 ,
R ,8 ,C ,5 ,N ,160 ,D ,20,Rate ,1.050942,T ,31.630000 ,
R ,8 ,C ,5 ,N ,160 ,D ,25,Rate ,1.070349,T ,68.144000 ,
R ,8 ,C ,5 ,N ,160 ,D ,30,Rate ,1.085484,T ,103.448000 ,
R ,8 ,C ,5 ,N ,160 ,D ,35,Rate ,1.099981,T ,157.488000 ,
R ,8 ,C ,5 ,N ,180 ,D ,1,Rate ,1.004477,T ,0.908000 ,
R ,8 ,C ,5 ,N ,180 ,D ,2,Rate ,1.003642,T ,0.847000 ,
R ,8 ,C ,5 ,N ,180 ,D ,3,Rate ,1.006458,T ,1.175000 ,
R ,8 ,C ,5 ,N ,180 ,D ,4,Rate ,1.007796,T ,1.501000 ,
R ,8 ,C ,5 ,N ,180 ,D ,5,Rate ,1.010608,T ,1.962000 ,
R ,8 ,C ,5 ,N ,180 ,D ,6,Rate ,1.010559,T ,2.515000 ,
R ,8 ,C ,5 ,N ,180 ,D ,8,Rate ,1.015677,T ,4.035000 ,
R ,8 ,C ,5 ,N ,180 ,D ,10,Rate ,1.024564,T ,8.899000 ,
R ,8 ,C ,5 ,N ,180 ,D ,12,Rate ,1.031520,T ,11.507000 ,
R ,8 ,C ,5 ,N ,180 ,D ,14,Rate ,1.036541,T ,18.622000 ,
R ,8 ,C ,5 ,N ,180 ,D ,16,Rate ,1.042831,T ,25.376000 ,
R ,8 ,C ,5 ,N ,180 ,D ,18,Rate ,1.064661,T ,52.171000 ,
R ,8 ,C ,5 ,N ,180 ,D ,20,Rate ,1.058433,T ,55.367000 ,
R ,8 ,C ,5 ,N ,180 ,D ,25,Rate ,1.077485,T ,96.823000 ,
R ,8 ,C ,5 ,N ,200 ,D ,1,Rate ,1.003590,T ,1.050000 ,
R ,8 ,C ,5 ,N ,200 ,D ,2,Rate ,1.004639,T ,1.110000 ,
R ,8 ,C ,5 ,N ,200 ,D ,3,Rate ,1.004617,T ,1.189000 ,
R ,8 ,C ,5 ,N ,200 ,D ,4,Rate ,1.009266,T ,2.018000 ,
R ,8 ,C ,5 ,N ,200 ,D ,5,Rate ,1.011147,T ,2.701000 ,
R ,8 ,C ,5 ,N ,200 ,D ,6,Rate ,1.006538,T ,2.439000 ,
R ,8 ,C ,5 ,N ,200 ,D ,8,Rate ,1.018358,T ,5.812000 ,
R ,8 ,C ,5 ,N ,200 ,D ,10,Rate ,1.019811,T ,8.769000 ,
R ,8 ,C ,5 ,N ,200 ,D ,12,Rate ,1.030689,T ,16.952000 ,
R ,8 ,C ,5 ,N ,200 ,D ,14,Rate ,1.044078,T ,40.359000 ,
R ,8 ,C ,5 ,N ,200 ,D ,16,Rate ,1.055589,T ,50.187000 ,
R ,8 ,C ,5 ,N ,200 ,D ,18,Rate ,1.057638,T ,68.964000 ,
R ,8 ,C ,5 ,N ,200 ,D ,20,Rate ,1.092441,T ,117.058000 ,
R ,8 ,C ,5 ,N ,220 ,D ,1,Rate ,1.003806,T ,1.126000 ,
R ,8 ,C ,5 ,N ,220 ,D ,2,Rate ,1.004746,T ,1.519000 ,
R ,8 ,C ,5 ,N ,220 ,D ,3,Rate ,1.007172,T ,1.732000 ,
R ,8 ,C ,5 ,N ,220 ,D ,4,Rate ,1.010034,T ,2.359000 ,
R ,8 ,C ,5 ,N ,220 ,D ,5,Rate ,1.013591,T ,4.129000 ,
R ,8 ,C ,5 ,N ,220 ,D ,6,Rate ,1.013541,T ,3.892000 ,
R ,8 ,C ,5 ,N ,220 ,D ,8,Rate ,1.016289,T ,8.060000 ,
R ,8 ,C ,5 ,N ,220 ,D ,10,Rate ,1.029288,T ,14.238000 ,
R ,8 ,C ,5 ,N ,220 ,D ,12,Rate ,1.037329,T ,24.502000 ,
R ,8 ,C ,5 ,N ,220 ,D ,14,Rate ,1.053474,T ,42.471000 ,
