R ,64,C ,64,N ,160,D ,8,Rate ,1.011659,T ,0.311
R ,64,C ,64,N ,160,D ,10,Rate ,1.004289,T ,0.298
R ,64,C ,64,N ,160,D ,12,Rate ,1.004643,T ,0.387
R ,64,C ,64,N ,160,D ,14,Rate ,1.005877,T ,0.631
R ,64,C ,64,N ,160,D ,16,Rate ,1.003353,T ,0.67
R ,64,C ,64,N ,160,D ,18,Rate ,1.006677,T ,0.814
R ,64,C ,64,N ,160,D ,20,Rate ,1.007921,T ,1.01
R ,64,C ,64,N ,160,D ,25,Rate ,1.004683,T ,1.642
R ,64,C ,64,N ,160,D ,30,Rate ,1.002592,T ,2.188
R ,64,C ,64,N ,180,D ,1,Rate ,1.033333,T ,0.109
R ,64,C ,64,N ,180,D ,2,Rate ,1.016234,T ,0.125
R ,64,C ,64,N ,180,D ,3,Rate ,1.01355,T ,0.127
R ,64,C ,64,N ,180,D ,4,Rate ,1.010989,T ,0.163
R ,64,C ,64,N ,180,D ,5,Rate ,1.010526,T ,0.19
R ,64,C ,64,N ,180,D ,6,Rate ,1.008168,T ,0.202
R ,64,C ,64,N ,180,D ,8,Rate ,1.004967,T ,0.286
R ,64,C ,64,N ,180,D ,10,Rate ,1.011765,T ,0.538
R ,64,C ,64,N ,180,D ,12,Rate ,1.006718,T ,0.551
R ,64,C ,64,N ,180,D ,14,Rate ,1.006443,T ,0.741
R ,64,C ,64,N ,180,D ,16,Rate ,1.005234,T ,0.813
R ,64,C ,64,N ,180,D ,18,Rate ,1.005904,T ,1.035
R ,64,C ,64,N ,180,D ,20,Rate ,1.004095,T ,1.063
R ,64,C ,64,N ,180,D ,25,Rate ,1.004877,T ,1.805
R ,64,C ,64,N ,180,D ,30,Rate ,1.004936,T ,3.254
R ,64,C ,64,N ,200,D ,1,Rate ,1.025,T ,0.153
R ,64,C ,64,N ,200,D ,2,Rate ,1.015385,T ,0.144
R ,64,C ,64,N ,200,D ,3,Rate ,1.019656,T ,0.155
R ,64,C ,64,N ,200,D ,4,Rate ,1.014463,T ,0.193
R ,64,C ,64,N ,200,D ,5,Rate ,1.02008,T ,0.252
R ,64,C ,64,N ,200,D ,6,Rate ,1.013613,T ,0.275
R ,64,C ,64,N ,200,D ,8,Rate ,1.006777,T ,0.331
R ,64,C ,64,N ,200,D ,10,Rate ,1.006204,T ,0.511
R ,64,C ,64,N ,200,D ,12,Rate ,1.006865,T ,0.595
R ,64,C ,64,N ,200,D ,14,Rate ,1.005037,T ,0.84
R ,64,C ,64,N ,200,D ,16,Rate ,1.003383,T ,1.079
R ,64,C ,64,N ,200,D ,18,Rate ,1.006548,T ,1.421
R ,64,C ,64,N ,200,D ,20,Rate ,1.007154,T ,1.725
R ,64,C ,64,N ,200,D ,25,Rate ,1.007785,T ,2.966
R ,64,C ,64,N ,200,D ,30,Rate ,1.003267,T ,4.304
R ,64,C ,64,N ,220,D ,1,Rate ,1.045455,T ,0.65
R ,64,C ,64,N ,220,D ,2,Rate ,1.014837,T ,0.36
R ,64,C ,64,N ,220,D ,3,Rate ,1.017699,T ,0.194
R ,64,C ,64,N ,220,D ,4,Rate ,1.011804,T ,0.234
R ,64,C ,64,N ,220,D ,5,Rate ,1.007389,T ,0.261
R ,64,C ,64,N ,220,D ,6,Rate ,1.013384,T ,0.295
R ,64,C ,64,N ,220,D ,8,Rate ,1.011012,T ,0.416
R ,64,C ,64,N ,220,D ,10,Rate ,1.011777,T ,0.642
R ,64,C ,64,N ,220,D ,12,Rate ,1.008681,T ,0.818
