R ,8 ,C ,5 ,N ,200 ,D ,14,Rate ,1.077596,T ,9.552000 ,
R ,8 ,C ,5 ,N ,200 ,D ,16,Rate ,1.123273,T ,31.115000 ,
R ,8 ,C ,5 ,N ,200 ,D ,18,Rate ,1.116867,T ,46.175000 ,
R ,8 ,C ,5 ,N ,200 ,D ,20,Rate ,1.108919,T ,68.605000 ,
R ,8 ,C ,5 ,N ,200 ,D ,25,Rate ,1.104167,T ,108.637000 ,
R ,8 ,C ,5 ,N ,220 ,D ,1,Rate ,1.209091,T ,0.397000 ,
R ,8 ,C ,5 ,N ,220 ,D ,2,Rate ,1.179104,T ,0.330000 ,
R ,8 ,C ,5 ,N ,220 ,D ,3,Rate ,1.144444,T ,0.524000 ,
R ,8 ,C ,5 ,N ,220 ,D ,4,Rate ,1.130288,T ,0.494000 ,
R ,8 ,C ,5 ,N ,220 ,D ,5,Rate ,1.161290,T ,0.925000 ,
R ,8 ,C ,5 ,N ,220 ,D ,6,Rate ,1.158281,T ,1.177000 ,
R ,8 ,C ,5 ,N ,220 ,D ,8,Rate ,1.148122,T ,2.714000 ,
R ,8 ,C ,5 ,N ,220 ,D ,10,Rate ,1.135676,T ,5.986000 ,
R ,8 ,C ,5 ,N ,220 ,D ,12,Rate ,1.132520,T ,11.793000 ,
R ,8 ,C ,5 ,N ,220 ,D ,14,Rate ,1.136659,T ,22.510000 ,
R ,8 ,C ,5 ,N ,220 ,D ,16,Rate ,1.125156,T ,38.653000 ,
R ,8 ,C ,5 ,N ,220 ,D ,18,Rate ,1.130507,T ,78.313000 ,
R ,8 ,C ,5 ,N ,220 ,D ,20,Rate ,1.172346,T ,158.070000 ,
R ,8 ,C ,5 ,N ,240 ,D ,1,Rate ,1.195833,T ,0.433000 ,
R ,8 ,C ,5 ,N ,240 ,D ,2,Rate ,1.153631,T ,0.478000 ,
R ,8 ,C ,5 ,N ,240 ,D ,3,Rate ,1.172996,T ,0.597000 ,
R ,8 ,C ,5 ,N ,240 ,D ,4,Rate ,1.197020,T ,0.719000 ,
R ,8 ,C ,5 ,N ,240 ,D ,5,Rate ,1.198286,T ,1.318000 ,
R ,8 ,C ,5 ,N ,240 ,D ,6,Rate ,1.228625,T ,2.313000 ,
